"Institusjonskode";"Institusjonsnavn";"Avdelingskode";"Avdelingsnavn";"Årstall";"Semester";"Semesternavn";"Studentkategori";"Kategoritekst";"Antall totalt";"Antall kvinner";"Antall menn"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2000";"3";"Høst";"P";"Personer uten studierett";"6";"0";"0"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"1998";"3";"Høst";"S";"Studenter";"701";"480";"221"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2000";"1";"Vår";"P";"Personer uten studierett";"0";"0";"0"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2009";"3";"Høst";"S";"Studenter";"1420";"997";"423"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2010";"1";"Vår";"P";"Personer uten studierett";"0";"0";"0"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2002";"3";"Høst";"S";"Studenter";"910";"654";"256"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2010";"3";"Høst";"P";"Personer uten studierett";"5";"0";"0"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2004";"3";"Høst";"S";"Studenter";"1043";"742";"301"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2010";"3";"Høst";"S";"Studenter";"1522";"1065";"457"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2007";"3";"Høst";"S";"Studenter";"1170";"831";"339"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"1999";"3";"Høst";"S";"Studenter";"794";"540";"254"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2005";"3";"Høst";"S";"Studenter";"1274";"878";"396"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2008";"3";"Høst";"S";"Studenter";"1227";"856";"371"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2006";"3";"Høst";"S";"Studenter";"1063";"731";"332"
